ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
10224738,HY411648,09/05/2015 01:30:00 PM,043XX S WOOD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,924,9,12,61,08B,1165074,1875917,2015,02/10/2018 03:50:01 PM,41.81511728,-87.66999956,"(41.815117282, -87.669999562)",29,14924,59,706,3,37,23,108
10224739,HY411615,09/04/2015 11:30:00 AM,008XX N CENTRAL AVE,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,1511,15,29,25,6,1138875,1904869,2015,02/10/2018 03:50:01 PM,41.89508047,-87.76540045,"(41.895080471, -87.765400451)",4,4299,26,562,45,5,25,67
11646166,JC213529,09/01/2018 12:01:00 AM,082XX S INGLESIDE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,631,6,8,44,6,,,2018,04/06/2019 04:04:43 PM,,,,,,,,,,,
10224740,HY411595,09/05/2015 12:45:00 PM,035XX W BARRY AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,TRUE,FALSE,1412,14,35,21,18,1152037,1920384,2015,02/10/2018 03:50:01 PM,41.93740577,-87.71664969,"(41.937405765, -87.716649687)",15,21538,22,216,12,39,7,168
10224741,HY411610,09/05/2015 01:00:00 PM,0000X N LARAMIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1522,15,28,25,08A,1141706,1900086,2015,02/10/2018 03:50:01 PM,41.88190344,-87.75512115,"(41.881903443, -87.755121152)",11,22216,26,696,23,32,25,81
10224742,HY411435,09/05/2015 10:55:00 AM,082XX S LOOMIS BLVD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,614,6,21,71,5,1168430,1850165,2015,02/10/2018 03:50:01 PM,41.74437888,-87.65843064,"(41.744378879, -87.658430635)",18,21554,70,575,13,59,20,237
10224743,HY411629,09/04/2015 06:00:00 PM,021XX W CHURCHILL ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1434,14,32,24,5,1161628,1912157,2015,02/10/2018 03:50:01 PM,41.9146356,-87.68163091,"(41.914635603, -87.681630909)",16,22535,25,179,40,1,7,192
10224744,HY411605,09/05/2015 01:00:00 PM,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,09/17/2015 11:37:18 AM,41.85198889,-87.68921912,"(41.851988885, -87.689219118)",11,14920,32,203,23,43,21,151
10224745,HY411654,09/05/2015 11:30:00 AM,031XX W WASHINGTON BLVD,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,1222,12,27,27,3,1155536,1900515,2015,02/10/2018 03:50:01 PM,41.88281374,-87.70432572,"(41.88281374, -87.704325717)",41,21184,28,50,46,28,15,77
11645836,JC212333,05/01/2016 12:25:00 AM,055XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,824,8,15,63,11,,,2016,04/06/2019 04:04:43 PM,,,,,,,,,,,
10224746,HY411662,09/05/2015 02:00:00 PM,071XX S PULASKI RD,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,02/10/2018 03:50:01 PM,41.76364755,-87.72234469,"(41.763647552, -87.722344693)",23,21867,63,318,30,58,13,209
10224749,HY411626,09/05/2015 11:00:00 AM,052XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1623,16,45,11,08B,1137969,1934340,2015,02/10/2018 03:50:01 PM,41.97596842,-87.76801426,"(41.975968415, -87.768014257)",20,21869,11,128,50,48,12,58
10224750,HY411632,09/05/2015 03:00:00 AM,0000X W 103RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,512,5,34,49,26,1177871,1836676,2015,02/10/2018 03:50:01 PM,41.70715492,-87.62424499,"(41.707154919, -87.624244993)",30,21861,45,569,43,19,10,250
10224751,HY411566,09/05/2015 12:50:00 PM,013XX E 47TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,222,2,4,39,08B,1185907,1874105,2015,02/10/2018 03:50:01 PM,41.80967831,-87.59363893,"(41.809678314, -87.593638934)",1,4301,5,450,10,36,24,113
10224752,HY411601,09/03/2015 01:00:00 PM,020XX W SCHILLER ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1162574,1909428,2015,02/10/2018 03:50:01 PM,41.90712726,-87.67823202,"(41.907127255, -87.678232016)",24,21560,25,481,41,4,7,200
10224753,HY411489,09/05/2015 11:45:00 AM,080XX S JUSTINE ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,FALSE,612,6,21,71,04B,1167400,1851512,2015,02/10/2018 03:50:01 PM,41.74809734,-87.66216618,"(41.748097343, -87.662166183)",18,21554,70,558,13,59,20,230
10224754,HY411656,09/05/2015 01:30:00 PM,007XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1531,15,28,25,14,1141889,1904448,2015,02/10/2018 03:50:01 PM,41.89386992,-87.7543411,"(41.893869916, -87.754341096)",11,22216,26,694,45,32,25,69
10224756,HY410094,07/08/2015 12:00:00 AM,103XX S TORRENCE AVE,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,434,4,10,51,5,1195508,1836950,2015,02/10/2018 03:50:01 PM,41.70749012,-87.55965033,"(41.707490122, -87.559650325)",47,21202,48,527,37,25,19,255
10224757,HY411388,09/05/2015 09:55:00 AM,088XX S PAULINA ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,2221,22,21,71,5,1166554,1846067,2015,02/10/2018 03:50:01 PM,41.73317354,-87.66542107,"(41.733173536, -87.665421067)",18,21554,70,488,13,59,9,245
10224758,HY411568,09/05/2015 12:35:00 PM,059XX W GRACE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1633,16,38,15,08B,1136014,1924656,2015,02/10/2018 03:50:01 PM,41.94942977,-87.77543553,"(41.949429769, -87.775435529)",25,22254,15,311,19,52,12,27
10224759,HY411581,09/04/2015 10:30:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,02/10/2018 03:50:01 PM,41.71303179,-87.53648781,"(41.713031786, -87.536487809)",47,21202,49,528,47,25,19,247
10224761,HY411650,09/02/2015 12:01:00 AM,049XX W WINNEMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1623,16,45,12,14,1142583,1933126,2015,02/10/2018 03:50:01 PM,41.9725523,-87.75107693,"(41.972552295, -87.751076926)",20,21869,12,746,50,48,12,58
10224762,HY411563,09/04/2015 03:00:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,02/10/2018 03:50:01 PM,41.71303179,-87.53648781,"(41.713031786, -87.536487809)",47,21202,49,528,47,25,19,247
10224763,HY411606,09/05/2015 01:45:00 PM,020XX E 71ST ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,331,3,5,43,3,1190856,1858321,2015,02/10/2018 03:50:01 PM,41.7662476,-87.57599706,"(41.766247597, -87.575997062)",32,22538,39,152,33,24,18,262
